,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Date,Time,URL,Title,Location,Committee,Date Scraped,witnesses,transcripts,witness_transcripts,video_url,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1
10,10,10,10,10,10,10,10,10,10,10,10,09/15/21,09:30AM,https://www.agriculture.senate.gov/hearings/milk-pricing-areas-for-improvement-and-reform,Milk Pricing: Areas for Improvement and Reform,301 Russell Senate Office Building ,Agriculture,2022-03-16,"['Lowell J. Davenport Jr.', 'Christina Zuiderveen', 'Mike Ferguson', 'Catherine H. de Ronde', 'Robert Wills', 'Christopher A. Wolf']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_%20Davenport%2009.15.2021.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Zuiderveen%2009.15.2021.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Ferguson%2009.15.2021.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_%20deRonde%2009.15.2021.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Wills%2009.15.2021.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Wolf%2009.15.2021.pdf']","[('Lowell J. Davenport Jr.', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_%20Davenport%2009.15.2021.pdf'), ('Christina Zuiderveen', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Zuiderveen%2009.15.2021.pdf'), ('Mike Ferguson', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Ferguson%2009.15.2021.pdf'), ('Catherine H. de Ronde', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_%20deRonde%2009.15.2021.pdf'), ('Robert Wills', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Wills%2009.15.2021.pdf'), ('Christopher A. Wolf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Wolf%2009.15.2021.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=1D674167-5056-A066-6009-620748C85789,10.0,10.0,10.0,10.0
11,11,11,11,11,11,11,11,11,11,11,11,08/10/21,11:00AM,https://www.agriculture.senate.gov/hearings/business-meeting-8-9-2021,Business Meeting,"S-216, President's Room ",Agriculture,2022-03-16,[],[],[],,11.0,11.0,11.0,11.0
12,12,12,12,12,12,12,12,12,12,12,12,08/05/21,10:00AM,https://www.agriculture.senate.gov/hearings/to-consider-the-following-nomination-dr-homer-l-wilkes-to-be-under-secretary-of-agriculture-for-natural-resources-and-environment,To consider the following nomination: Dr. Homer L. Wilkes to be Under Secretary of Agriculture for Natural Resources and Environment,301 Russell Senate Office Building  ,Agriculture,2022-03-16,['Homer L. Wilkes'],['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Wilkes%2008.05.21.pdf'],"[('Homer L. Wilkes', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Wilkes%2008.05.21.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=8A6B5810-5056-A066-60D2-CC7BD6410E44,12.0,12.0,12.0,12.0
13,13,13,13,13,13,13,13,13,13,13,13,07/29/21,10:00AM,https://www.agriculture.senate.gov/hearings/to-consider-the-following-nominations-the-honorable-xochitl-torres-small-to-be-under-secretary-of-agriculture-for-rural-development-and-the-honorable-robert-f-bonnie-to-be-under-secretary-of-agriculture-for-farm-production-and-conservation,To consider the following nominations: the Honorable Xochitl Torres Small to be Under Secretary of Agriculture for Rural Development and the Honorable Robert F. Bonnie to be Under Secretary of Agriculture for Farm Production and Conservation,G50 Dirksen Senate Office Building  ,Agriculture,2022-03-16,"['Xochitl Torres Small', 'Robert F. Bonnie']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Torres%20Small%2007.29.211.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Bonnie%2007.29.211.pdf']","[('Xochitl Torres Small', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Torres%20Small%2007.29.211.pdf'), ('Robert F. Bonnie', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Bonnie%2007.29.211.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=17F560B0-5056-A066-60BD-DBDDF371182F,13.0,13.0,13.0,13.0
14,14,14,14,14,14,14,14,14,14,14,14,07/26/21,05:30PM,https://www.agriculture.senate.gov/hearings/business-meeting-7-26-2021,Business Meeting,"S-216, President’s Room ",Agriculture,2022-03-16,[],[],[],,14.0,14.0,14.0,14.0
15,15,15,15,15,15,15,15,15,15,15,15,07/15/21,09:30AM,https://www.agriculture.senate.gov/hearings/to-consider-the-following-nomination-jennifer-l-moffitt-to-be-under-secretary-of-agriculture-for-marketing-and-regulatory-programs,To consider the following nomination: Jennifer L. Moffitt to be Under Secretary of Agriculture for Marketing and Regulatory Programs,301 Russell Senate Office Building ,Agriculture,2022-03-16,['Jennifer Moffitt'],['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Moffitt%2007.15.21.pdf'],"[('Jennifer Moffitt', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Moffitt%2007.15.21.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=532C5239-5056-A066-6078-F67C7FDE3952,15.0,15.0,15.0,15.0
16,16,16,16,16,16,16,16,16,16,16,16,06/23/21,02:30PM,https://www.agriculture.senate.gov/hearings/examining-markets-transparency-and-prices-from-cattle-producer-to-consumer,"Examining Markets, Transparency, and Prices from Cattle Producer to Consumer",G50 Dirksen Senate Office Building ,Agriculture,2022-03-16,"['Justin Tupper', 'Mark Gardiner', 'Glynn T. Tonsor', 'Dustin Aherin', 'Mary K. Hendrickson']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Tupper%2006.23.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Gardiner%2006.23.211.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Tonsor%2006.23.211.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Aherin%2006.23.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Hendrickson%2006.23.21.pdf']","[('Justin Tupper', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Tupper%2006.23.21.pdf'), ('Mark Gardiner', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Gardiner%2006.23.211.pdf'), ('Glynn T. Tonsor', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Tonsor%2006.23.211.pdf'), ('Dustin Aherin', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Aherin%2006.23.21.pdf'), ('Mary K. Hendrickson', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Hendrickson%2006.23.21.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=E05AED58-5056-A066-605B-1C2A48946230,16.0,16.0,16.0,16.0
17,17,17,17,17,17,17,17,17,17,17,17,06/22/21,09:30AM,https://www.agriculture.senate.gov/hearings/renewable-energy_-growth-and-opportunities-for-our-rural-economies,Renewable Energy - Growth and Opportunities for our Rural Economies,562 Dirksen Senate Office Building ,Agriculture,2022-03-16,"['Shannon Schlecht', 'Katie Sieben', 'Emily Skor', 'Bill Cherrier', 'Matthew Mancuso']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Schlecht%2006.22.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Sieben%2006.22.211.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Skor%2006.22.211.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Cherrier%2006.22.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Mancuso%2006.22.21.pdf']","[('Shannon Schlecht', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Schlecht%2006.22.21.pdf'), ('Katie Sieben', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Sieben%2006.22.211.pdf'), ('Emily Skor', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Skor%2006.22.211.pdf'), ('Bill Cherrier', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Cherrier%2006.22.21.pdf'), ('Matthew Mancuso', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Mancuso%2006.22.21.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=7CDB289B-5056-A066-60FC-B7DCB6A27704,17.0,17.0,17.0,17.0
18,18,18,18,18,18,18,18,18,18,18,18,06/10/21,11:45AM,https://www.agriculture.senate.gov/hearings/business-meeting-6-8-2021,Business Meeting,"S-216, President’s Room ",Agriculture,2022-03-16,[],[],[],,18.0,18.0,18.0,18.0
19,19,19,19,19,19,19,19,19,19,19,19,05/27/21,09:30AM,https://www.agriculture.senate.gov/hearings/to-consider-the-following-nomination-janie-simms-hipp-of-arkansas-to-be-general-counsel-of-the-department-of-agriculture,"To consider the following nomination: Janie Simms Hipp, of Arkansas, to be General Counsel of the Department of Agriculture",366 Dirksen Senate Office Building  ,Agriculture,2022-03-16,['Janie Simms Hipp'],['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Hipp%2005.27.21.pdf'],"[('Janie Simms Hipp', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Hipp%2005.27.21.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=2FFA573D-5056-A066-60A1-7C8C70A1108F,19.0,19.0,19.0,19.0
20,20,20,20,20,20,20,20,20,20,20,20,05/20/21,09:30AM,https://www.agriculture.senate.gov/hearings/federal-state-and-private-forestlands-opportunities-for-addressing-climate-change,"Federal, State, and Private Forestlands: Opportunities for Addressing Climate Change",301 Russell Senate Office Building ,Agriculture,2022-03-16,"['Kedren Dillard', 'Troy Harris', 'Jessica Orrego', 'Joe Fox', 'Tony Cheng']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Dillard%2005.20.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Harris%2005.20.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Orrego%2005.20.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Fox%2005.20.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Cheng%2005.20.21.pdf']","[('Kedren Dillard', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Dillard%2005.20.21.pdf'), ('Troy Harris', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Harris%2005.20.21.pdf'), ('Jessica Orrego', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Orrego%2005.20.21.pdf'), ('Joe Fox', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Fox%2005.20.21.pdf'), ('Tony Cheng', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Cheng%2005.20.21.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=05658F3B-5056-A066-60FB-E1E20E40EFDA,20.0,20.0,20.0,20.0
21,21,21,21,21,21,21,21,21,21,21,21,05/10/21,05:30PM,https://www.agriculture.senate.gov/hearings/business-meeting-5-10-2021,Business Meeting,"S-216, President's Room ",Agriculture,2022-03-16,[],[],[],,21.0,21.0,21.0,21.0
22,22,22,22,22,22,22,22,22,22,22,22,04/22/21,09:30AM,https://www.agriculture.senate.gov/hearings/business-meeting-4-22-2021,Business Meeting,301 Russell Senate Office Building ,Agriculture,2022-03-16,[],[],[],https://www.agriculture.senate.gov/hearings/watch?hearingid=658F75E3-5056-A066-602B-6E4DC3F18C66,22.0,22.0,22.0,22.0
23,23,23,23,23,23,23,23,23,23,23,23,04/22/21,09:30AM,https://www.agriculture.senate.gov/hearings/to-consider-the-following-nomination_dr-jewel-h-bronaugh-of-virginia-to-be-deputy-secretary-of-agriculture,"To consider the following nomination: Dr. Jewel H. Bronaugh, of Virginia, to be Deputy Secretary of Agriculture",301 Russell Senate Office Building ,Agriculture,2022-03-16,['Jewel H. Bronaugh'],['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Bronaugh%2004.22.213.pdf'],"[('Jewel H. Bronaugh', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Bronaugh%2004.22.213.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=35B5F3BC-5056-A066-6045-5E28F4F32CF6,23.0,23.0,23.0,23.0
24,24,24,24,24,24,24,24,24,24,24,24,03/25/21,09:30AM,https://www.agriculture.senate.gov/hearings/child-nutrition-reauthorization-healthy-meals-and-healthy-futures,Child Nutrition Reauthorization: Healthy Meals and Healthy Futures,"301 Russell Senate Office Building, Washington, DC ",Agriculture,2022-03-16,"['Lee Savio Beers', 'Reynaldo Green', 'Jessica Gould', 'Diane Golzynski', 'Heidi M. Hoffman', 'Carlos Rodriguez']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Beers%2003.25.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Green%2003.25.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Gould%2003.25.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Golzynski%2003.25.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Hoffman%2003.25.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Rodriguez%2003.25.21.pdf']","[('Lee Savio Beers', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Beers%2003.25.21.pdf'), ('Reynaldo Green', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Green%2003.25.21.pdf'), ('Jessica Gould', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Gould%2003.25.21.pdf'), ('Diane Golzynski', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Golzynski%2003.25.21.pdf'), ('Heidi M. Hoffman', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Hoffman%2003.25.21.pdf'), ('Carlos Rodriguez', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Rodriguez%2003.25.21.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=8EFD0444-5056-A066-605A-D22A8E6EDB12,24.0,24.0,24.0,24.0
25,25,25,25,25,25,25,25,25,25,25,25,03/11/21,10:15AM,https://www.agriculture.senate.gov/hearings/farmers-and-foresters-opportunities-to-lead-in-tackling-climate-change,Farmers and Foresters: Opportunities to Lead in Tackling Climate Change,301 Russell Senate Office Building ,Agriculture,2022-03-16,"['Clay Pope', 'Mark Isbell', 'John Reifsteck', 'Stefanie Smallhouse', 'Cori Wittman Stitt']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Pope%2003.11.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Isbell%2003.11.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Reifsteck%2003.11.21.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Smallhouse%2003.11.211.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Wittman%2003.11.211.pdf']","[('Clay Pope', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Pope%2003.11.21.pdf'), ('Mark Isbell', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Isbell%2003.11.21.pdf'), ('John Reifsteck', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Reifsteck%2003.11.21.pdf'), ('Stefanie Smallhouse', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Smallhouse%2003.11.211.pdf'), ('Cori Wittman Stitt', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Wittman%2003.11.211.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=8818B033-5056-A066-60A9-92B1F1FD1659,25.0,25.0,25.0,25.0
26,26,26,26,26,26,26,26,26,26,26,26,02/02/21,02:30PM,https://www.agriculture.senate.gov/hearings/business-meeting-02-02-2021,Business Meeting,"S-216, President's Room ",Agriculture,2022-03-16,[],[],[],,26.0,26.0,26.0,26.0
27,27,27,27,27,27,27,27,27,27,27,27,02/02/21,10:30AM,https://www.agriculture.senate.gov/hearings/to-consider-the-following-nomination-thomas-j-vilsack-of-iowa-to-be-secretary-of-agriculture,"To consider the following nomination: The Honorable Thomas J. Vilsack, of Iowa, to be Secretary of Agriculture",301 Russell Senate Office Building (Rules Committee's hearing room) ,Agriculture,2022-03-16,['Thomas J. Vilsack'],['https://www.agriculture.senate.gov/imo/media/doc/Testimony_Vilsack_02.02.2021.pdf'],"[('Thomas J. Vilsack', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Vilsack_02.02.2021.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=AB6B676E-5056-A066-60AE-65600489897B,27.0,27.0,27.0,27.0
28,28,28,28,28,28,28,28,28,28,28,28,12/02/20,02:30PM,https://www.agriculture.senate.gov/hearings/agricultural-research-and-securing-the-united-states-food-supply,Agricultural Research and Securing the United States Food Supply,"G50 Dirksen Senate Office Building, Washington, DC ",Agriculture,2022-03-16,"['Amy France', 'Dan Glickman', 'Stephen Higgs', 'Steven Rosenzweig']","['https://www.agriculture.senate.gov/imo/media/doc/Testimony_France%2012.02.2020.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Glickman%2012.02.2020.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Higgs%2012.02.2020.pdf', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Rosenzweig%2012.02.2020.pdf']","[('Amy France', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_France%2012.02.2020.pdf'), ('Dan Glickman', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Glickman%2012.02.2020.pdf'), ('Stephen Higgs', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Higgs%2012.02.2020.pdf'), ('Steven Rosenzweig', 'https://www.agriculture.senate.gov/imo/media/doc/Testimony_Rosenzweig%2012.02.2020.pdf')]",https://www.agriculture.senate.gov/hearings/watch?hearingid=D6B93019-5056-A066-6082-00E33E81A897,28.0,28.0,28.0,28.0
